# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-1.217110e-05	3.121937e-05	5.751559e-06	-9.295322e-06	1.504688e-05
1             	-1.075496e+01	2.414768e+00	6.014118e+00	-7.747905e+00	1.376202e+01
2             	-9.821925e+00	1.660089e+00	4.378412e+00	-7.632720e+00	1.201113e+01
3             	-6.130671e+00	-1.793814e-01	4.085592e-02	-6.110243e+00	6.151099e+00
4             	-2.574780e+00	-1.233047e+00	-2.124019e+00	-3.636789e+00	1.512770e+00
5             	7.463773e-01	-9.338624e-01	-1.026252e+00	2.332513e-01	-1.259503e+00
6             	1.285751e+00	1.951821e-02	1.184434e+00	1.877968e+00	-6.935341e-01
7             	-2.004381e+00	6.579709e-01	2.356367e+00	-8.261975e-01	3.182565e+00
8             	-7.122004e+00	6.478105e-01	2.019717e+00	-6.112146e+00	8.131863e+00
9             	-9.943800e+00	1.874327e-01	9.273057e-01	-9.480147e+00	1.040745e+01
10            	-8.390871e+00	-2.601394e-01	1.560042e-01	-8.312869e+00	8.468873e+00
11            	-4.379231e+00	-3.859496e-01	1.731011e-01	-4.292681e+00	4.465782e+00
12            	-1.410688e+00	-1.817989e-01	7.758714e-01	-1.022752e+00	1.798624e+00
13            	-1.731083e+00	9.996467e-02	1.336627e+00	-1.062770e+00	2.399397e+00
14            	-4.665838e+00	2.477190e-01	1.530023e+00	-3.900826e+00	5.430849e+00
15            	-7.468524e+00	1.992785e-01	1.301370e+00	-6.817838e+00	8.119209e+00
16            	-8.211447e+00	2.901625e-02	9.424747e-01	-7.740209e+00	8.682684e+00
17            	-6.937796e+00	-1.249007e-01	7.061209e-01	-6.584736e+00	7.290857e+00
18            	-5.119122e+00	-1.543945e-01	7.700066e-01	-4.734118e+00	5.504125e+00
19            	-4.273216e+00	-7.055064e-02	1.007817e+00	-3.769307e+00	4.777124e+00
20            	-4.860543e+00	3.950191e-02	1.235502e+00	-4.242792e+00	5.478294e+00
21            	-6.391303e+00	9.171130e-02	1.278792e+00	-5.751907e+00	7.030699e+00
22            	-7.680616e+00	5.329512e-02	1.132736e+00	-7.114249e+00	8.246984e+00
23            	-7.965639e+00	-2.745512e-02	9.462242e-01	-7.492527e+00	8.438751e+00
24            	-7.500541e+00	-8.780626e-02	8.523590e-01	-7.074362e+00	7.926721e+00
25            	-7.068755e+00	-9.462372e-02	8.786489e-01	-6.629431e+00	7.508080e+00
26            	-7.275637e+00	-5.696782e-02	9.590537e-01	-6.796110e+00	7.755164e+00
27            	-8.137310e+00	-1.783166e-02	1.013345e+00	-7.630638e+00	8.643983e+00
28            	-9.364397e+00	-3.013175e-03	9.953183e-01	-8.866738e+00	9.862056e+00
29            	-1.026618e+01	-2.854375e-02	8.858381e-01	-9.823261e+00	1.070910e+01
30            	-1.060349e+01	-7.156516e-02	7.693565e-01	-1.021881e+01	1.098817e+01
31            	-1.049439e+01	-9.993161e-02	7.346693e-01	-1.012706e+01	1.086173e+01
32            	-1.037096e+01	-9.944487e-02	7.708449e-01	-9.985533e+00	1.075638e+01
33            	-1.057851e+01	-8.076116e-02	8.281930e-01	-1.016441e+01	1.099260e+01
34            	-1.110339e+01	-6.533123e-02	8.625468e-01	-1.067212e+01	1.153467e+01
35            	-1.170958e+01	-6.602507e-02	8.541926e-01	-1.128249e+01	1.213668e+01
36            	-1.212026e+01	-8.217856e-02	8.144501e-01	-1.171304e+01	1.252749e+01
37            	-1.210955e+01	-1.001579e-01	7.921150e-01	-1.171350e+01	1.250561e+01
38            	-1.177483e+01	-1.079166e-01	8.194949e-01	-1.136508e+01	1.218457e+01
39            	-1.136056e+01	-1.034433e-01	8.924692e-01	-1.091432e+01	1.180679e+01
40            	-1.105198e+01	-9.295527e-02	9.870214e-01	-1.055846e+01	1.154549e+01
41            	-1.097306e+01	-8.643254e-02	1.057179e+00	-1.044447e+01	1.150165e+01
42            	-1.103687e+01	-8.762893e-02	1.094258e+00	-1.048974e+01	1.158400e+01
43            	-1.111305e+01	-9.413785e-02	1.110102e+00	-1.055800e+01	1.166810e+01
44            	-1.113162e+01	-1.006114e-01	1.122240e+00	-1.057050e+01	1.169274e+01
45            	-1.110335e+01	-1.032253e-01	1.141290e+00	-1.053271e+01	1.167400e+01
46            	-1.108319e+01	-1.022069e-01	1.165640e+00	-1.050037e+01	1.166601e+01
47            	-1.109846e+01	-1.002355e-01	1.190893e+00	-1.050301e+01	1.169391e+01
48            	-1.114699e+01	-9.957709e-02	1.214161e+00	-1.053991e+01	1.175407e+01
49            	-1.121401e+01	-1.012325e-01	1.233672e+00	-1.059718e+01	1.183085e+01
50            	-1.128968e+01	-1.040809e-01	1.247498e+00	-1.066593e+01	1.191343e+01
51            	-1.136093e+01	-1.067019e-01	1.259807e+00	-1.073103e+01	1.199084e+01
52            	-1.142252e+01	-1.081186e-01	1.272023e+00	-1.078651e+01	1.205853e+01
